subject,method,k,num_channels_selected,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity,full_channels_acc,accuracy_drop,accuracy_drop_pct
S006,ES,10,10,0.7540392156862745,0.03642915630988747,0.722821492233257,0.043564880199578826,0.4132352941176471,0.19467389109850486,0.49941929988369616,0.17134803442331875,0.7303285886547133,0.09413256872255796,0.9222816399286987,0.041327823324199556,0.7579607843137254,0.0039215686274508554,0.5173841059602484
S006,ES,15,15,0.7774901960784314,0.06924366484457091,0.6047268907563026,0.3078493896924074,0.48235294117647054,0.29151792219679684,0.5244465528146743,0.29222777370707775,0.7589618066477929,0.1118050382267893,0.9228163992869876,0.051042680370301775,0.7579607843137254,-0.019529411764706017,-2.576572847682137
S006,ES,20,20,0.7537254901960784,0.028824996627989655,0.742982456140351,0.10890547043678327,0.4610294117647059,0.19866008771222016,0.5290810638636725,0.1397474624037666,0.723081485267904,0.06236041039885223,0.8985739750445634,0.08785799524782913,0.7579607843137254,0.004235294117647004,0.5587748344370789
S006,ES,25,25,0.7337254901960785,0.05701049095062567,0.763076923076923,0.198068251407558,0.3588235294117647,0.17489492643904125,0.448354011579818,0.17607780366299158,0.7053439891999581,0.10772720983100198,0.9224598930481284,0.08508856222344151,0.7579607843137254,0.02423529411764691,3.1974337748344177
S006,ES,30,30,0.7340392156862745,0.030473792952325288,0.6227752639517347,0.34073743544487695,0.3411764705882353,0.2084711193725806,0.41551267147175075,0.2183640755938805,0.6745360176156024,0.1252749891648574,0.9285204991087344,0.08056252228991011,0.7579607843137254,0.023921568627450873,3.1560430463576026
S006,AS,10,10,0.7658823529411765,0.04947770265848443,0.6205128205128205,0.3133622883092113,0.411764705882353,0.21693045781865616,0.49348659003831424,0.25394923247987067,0.7481945318234245,0.08328666608568838,0.9402852049910873,0.03272292290674835,0.7579607843137254,-0.007921568627451081,-1.0451158940397487
S006,AS,15,15,0.7618039215686274,0.05515549303695118,0.6453679653679654,0.3351411481944521,0.3764705882352941,0.2057983021710106,0.47126436781609193,0.24884460187676932,0.6923318391527734,0.14130894165014035,0.9524064171122995,0.039928698752228174,0.7579607843137254,-0.0038431372549020404,-0.5070364238410702
S006,AS,20,20,0.7698823529411765,0.047815742719592075,0.7253535353535353,0.12708997621721532,0.5235294117647059,0.09913117380207483,0.60032870355451,0.08403043162055412,0.7384191176470588,0.08786666278119315,0.8930481283422461,0.06044068871378018,0.7579607843137254,-0.011921568627451085,-1.5728476821192192
S006,AS,25,25,0.7578823529411765,0.07787789020249192,0.6576190476190475,0.35902488244291914,0.32941176470588235,0.23113979652221767,0.42957961578651227,0.27402356693344565,0.6682145852993604,0.1442195272137138,0.9702317290552586,0.03222193241853354,0.7579607843137254,7.843137254892607e-05,0.010347682119192958
S006,AS,30,30,0.7697254901960784,0.03737680777331495,0.7189255189255188,0.09656614514047587,0.5235294117647059,0.06550311015094146,0.6017523744331308,0.06492022301049923,0.7321471636783056,0.08750889493263883,0.8932263814616755,0.04725019156720303,0.7579607843137254,-0.01176470588235301,-1.552152317880804
S007,ES,10,10,0.9088627450980391,0.03666748452479925,0.9254272043745729,0.07730759862933838,0.7955882352941176,0.09580292632295488,0.8507019115890083,0.06757160345687455,0.9479612299465241,0.038618721188355784,0.9647058823529413,0.043226289578526686,0.9049411764705881,-0.0039215686274509665,-0.43335066736002625
S007,ES,15,15,0.9167058823529413,0.023124090638520573,0.8899626517273574,0.04429437933671771,0.8566176470588236,0.06143117227707478,0.8713878483944898,0.03979352331832246,0.9572831472161057,0.029211065787023524,0.946524064171123,0.021925858284042723,0.9049411764705881,-0.011764705882353121,-1.3000520020801032
S007,ES,20,20,0.9050196078431373,0.04880826598172712,0.8570494864612511,0.05861894380187044,0.8588235294117647,0.10910139406465533,0.8556790458118732,0.07686060732349297,0.9444702212435777,0.0337152446510945,0.9288770053475937,0.029615778147508227,0.9049411764705881,-7.843137254914812e-05,-0.008667013347214756
S007,ES,25,25,0.9008627450980391,0.03301336627702748,0.852825814536341,0.07492259035338002,0.8558823529411764,0.09860620361317772,0.84978477474233,0.05648388918086023,0.938870320855615,0.040436723083311935,0.922994652406417,0.04006771699450096,0.9049411764705881,0.004078431372549041,0.4506846940544312
S007,ES,30,30,0.8688627450980391,0.04691586127543312,0.8144911297852474,0.08074188648083105,0.7838235294117647,0.08769442068162102,0.7977450980392156,0.07925280629026794,0.899068430848275,0.030471389017152503,0.910873440285205,0.03750947147967955,0.9049411764705881,0.03607843137254907,3.9868261397122606
