subject,model,model_method,method,k,accuracy,accuracy_drop,full_channels_acc,retention_rate
S005,ACS_SE_CNN,ACS_SE_CNN,default,15,0.8254,-0.0278,0.8532000000000001,96.741678387248
S005,ACS_SE_CNN,ACS_SE_CNN,default,20,0.8016,-0.004,0.8056,99.50347567030784
S005,ACS_SE_CNN,ACS_SE_CNN,default,25,0.7937,0.004,0.7897,100.50652146384702
S005,ACS_SE_CNN,ACS_SE_CNN,default,30,0.8056,-0.0079,0.8135,99.02888752304855
S005,G_CARM,G_CARM-ES,ES,10,0.7381,0.0476,0.6905,106.89355539464157
S005,G_CARM,G_CARM-ES,ES,15,0.7222,0.0635,0.6587,109.64020039471687
S005,G_CARM,G_CARM-ES,ES,20,0.7341,0.0516,0.6825,107.56043956043955
S005,G_CARM,G_CARM-ES,ES,25,0.7738,0.0119,0.7619,101.56188476177977
S005,G_CARM,G_CARM-ES,ES,30,0.7738,0.0119,0.7619,101.56188476177977
S005,G_CARM,G_CARM-AS,AS,10,0.7817,0.004,0.7777,100.51433714800051
S005,G_CARM,G_CARM-AS,AS,15,0.7937,-0.0079,0.8016,99.01447105788424
S005,G_CARM,G_CARM-AS,AS,20,0.7421,0.0437,0.6984,106.25715922107675
S005,G_CARM,G_CARM-AS,AS,25,0.7698,0.0159,0.7539,102.1090330282531
S005,G_CARM,G_CARM-AS,AS,30,0.7897,-0.004,0.7937,99.49603124606274
S006,FBCSP,FBCSP,default,10,0.5913,-0.0754,0.6667000000000001,88.69056547172642
S006,FBCSP,FBCSP,default,15,0.5675,-0.0516,0.6191,91.66532062671621
S006,FBCSP,FBCSP,default,20,0.5833,-0.0675,0.6508,89.62814996926859
S006,FBCSP,FBCSP,default,25,0.5952,-0.0794,0.6746,88.23006225911651
S006,FBCSP,FBCSP,default,30,0.5556,-0.0397,0.5952999999999999,93.33109356626912
S006,CNN_SAE,CNN_SAE,default,10,0.8571,-0.0556,0.9127,93.90818450750521
S006,CNN_SAE,CNN_SAE,default,15,0.8889,-0.0873,0.9762000000000001,91.05716041794713
S006,CNN_SAE,CNN_SAE,default,20,0.8214,-0.0198,0.8412000000000001,97.64621968616261
S006,CNN_SAE,CNN_SAE,default,25,0.8095,-0.0079,0.8174,99.03352091999021
S006,CNN_SAE,CNN_SAE,default,30,0.7817,0.0198,0.7618999999999999,102.59876624228903
S006,EEGNET,EEGNET,default,10,0.9286,-0.004,0.9326,99.57109157194938
S006,EEGNET,EEGNET,default,15,0.9286,-0.004,0.9326,99.57109157194938
S006,EEGNET,EEGNET,default,20,0.9444,-0.0198,0.9642000000000001,97.94648413192283
S006,EEGNET,EEGNET,default,25,0.9484,-0.0238,0.9722000000000001,97.5519440444353
S006,EEGNET,EEGNET,default,30,0.9563,-0.0317,0.988,96.79149797570851
S006,ACS_SE_CNN,ACS_SE_CNN,default,10,0.7341,0.004,0.7301,100.5478701547733
